,material_id,material_name,current,unit,jan,feb,mar,apr,may,jun,jul
0,0101000000000000,คอนกรีตผสมเสร็จ,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
1,0101010100000000, กำลังอัดประลัยที่อายุ 28 วัน (กก./ตร.ซม.) รูปลูกบาศก์ 15*15*15 ซม. และรูปทรงกระบอก 15*30 ซม. ตราซีแพค *,x,x,x,x,x,x,x,x,x
2,0101010107200000,    รูปลูกบาศก์ 300 กก./ตร.ซม. และรูปทรงกระบอก 250 กก./ตร.ซม. ตราซีแพค,2543.4,ลบ.ม. ,2493.4,2493.4,2493.4,2543.4,2543.4,2543.4,2543.4
3,0101010108100000,    รูปลูกบาศก์ 180 กก./ตร.ซม. และรูปทรงกระบอก 140 กก./ตร.ซม. ตราซีแพค,2449.4,ลบ.ม. ,2399.4,2399.4,2399.4,2449.4,2449.4,2449.4,2449.4
4,0101010108200000,    รูปลูกบาศก์ 210 กก./ตร.ซม. และรูปทรงกระบอก 180 กก./ตร.ซม. ตราซีแพค,2434.2,ลบ.ม. ,2384.2,2384.2,2384.2,2434.2,2434.2,2434.2,2434.2
5,0101010108300000,    รูปลูกบาศก์ 240 กก./ตร.ซม. และรูปทรงกระบอก 210 กก./ตร.ซม. ตราซีแพค,2470.6,ลบ.ม. ,2420.6,2420.6,2420.6,2470.6,2470.6,2470.6,2470.6
6,0101010108400000,    รูปลูกบาศก์ 280 กก./ตร.ซม. และรูปทรงกระบอก 240 กก./ตร.ซม. ตราซีแพค,2507,ลบ.ม. ,2457,2457,2457,2507,2507,2507,2507
7,0101010108500000,    รูปลูกบาศก์ 320 กก./ตร.ซม. และรุปทรงกระบอก 280 กก./ตร.ซม. ตราซีแพค,2579.8,ลบ.ม. ,2529.8,2529.8,2529.8,2579.8,2579.8,2579.8,2579.8
8,0101010108600000,    รูปลูกบาศก์ 350 กก./ตร.ซม. และรูปทรงกระบอก 300 กก./ตร.ซม. ตราซีแพค,2625.3,ลบ.ม. ,2575.3,2575.3,2575.3,2625.3,2625.3,2625.3,2625.3
9,0101010108700000,    รูปลูกบาศก์ 380 กก./ตร.ซม. และรูปทรงกระบอก 320 กก./ตร.ซม. ตราซีแพค,2679.9,ลบ.ม. ,2629.9,2629.9,2629.9,2679.9,2679.9,2679.9,2679.9
10,0101010108800000,    รูปลูกบาศก์ 400 กก./ตร.ซม. และรูปทรงกระบอก 350 กก.ตร.ซม. ตราซีแพค,2743.6,ลบ.ม. ,2693.6,2693.6,2693.6,2743.6,2743.6,2743.6,2743.6
